Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
336; 1,116E1; 2,182E0; 6,219E0; -1,824E0; 4,516E1
337; 1,119E1; 2,104E0; 7,731E0; -2,352E0; 4,538E1
338; 1,123E1; 2,044E0; 9,228E0; -1,787E0; 4,492E1
339; 1,126E1; 1,964E0; 1,052E1; -2,411E0; 3,884E1
340; 1,129E1; 1,861E0; 1,159E1; -3,092E0; 3,217E1
341; 1,133E1; 1,742E0; 1,241E1; -3,567E0; 2,448E1
342; 1,136E1; 1,624E0; 1,287E1; -3,542E0; 1,396E1
343; 1,139E1; 1,506E0; 1,297E1; -3,549E0; 2,990E0
344; 1,143E1; 1,388E0; 1,271E1; -3,540E0; -7,796E0
345; 1,146E1; 1,289E0; 1,210E1; -2,970E0; -1,844E1
346; 1,149E1; 1,201E0; 1,119E1; -2,637E0; -2,743E1
347; 1,153E1; 1,114E0; 9,988E0; -2,613E0; -3,596E1
348; 1,156E1; 1,027E0; 8,623E0; -2,622E0; -4,096E1
349; 1,159E1; 9,700E-1; 7,148E0; -1,704E0; -4,427E1
350; 1,163E1; 9,409E-1; 5,605E0; -8,725E-1; -4,632E1
351; 1,166E1; 9,114E-1; 4,120E0; -8,850E-1; -4,457E1
352; 1,169E1; 9,092E-1; 2,771E0; -6,721E-2; -4,047E1
353; 1,173E1; 9,302E-1; 1,585E0; 6,325E-1; -3,560E1
354; 1,176E1; 9,795E-1; 7,046E-1; 1,480E0; -2,643E1
355; 1,179E1; 1,063E0; 1,313E-1; 2,503E0; -1,721E1
356; 1,183E1; 1,166E0; -9,835E-2; 3,101E0; -6,891E0
357; 1,186E1; 1,259E0; 1,883E-2; 2,799E0; 3,517E0
358; 1,189E1; 1,368E0; 4,794E-1; 3,249E0; 1,382E1
359; 1,193E1; 1,499E0; 1,278E0; 3,933E0; 2,397E1
360; 1,196E1; 1,642E0; 2,359E0; 4,294E0; 3,244E1
