Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
589; 1,959E1; 1,409E0; 2,354E0; 6,208E-1; -3,740E1
590; 1,962E1; 1,417E0; 9,375E-1; 2,470E-1; -4,252E1
591; 1,966E1; 1,469E0; -5,344E-1; 1,566E0; -4,418E1
592; 1,969E1; 1,476E0; -2,104E0; 1,917E-1; -4,712E1
593; 1,972E1; 1,472E0; -3,748E0; -1,043E-1; -4,933E1
594; 1,976E1; 1,482E0; -5,339E0; 2,992E-1; -4,775E1
595; 1,979E1; 1,508E0; -6,939E0; 7,853E-1; -4,804E1
596; 1,982E1; 1,485E0; -8,489E0; -6,961E-1; -4,652E1
597; 1,986E1; 1,498E0; -9,840E0; 3,753E-1; -4,054E1
598; 1,989E1; 1,470E0; -1,110E1; -8,408E-1; -3,774E1
599; 1,992E1; 1,425E0; -1,316E1; -1,351E0; -6,183E1
600; 1,996E1; 1,405E0; -1,385E1; -5,988E-1; -2,066E1
601; 1,999E1; 1,348E0; -1,436E1; -1,697E0; -1,536E1
602; 2,002E1; 1,319E0; -1,454E1; -8,831E-1; -5,364E0
603; 2,006E1; 1,292E0; -1,451E1; -8,019E-1; 8,193E-1
604; 2,009E1; 1,222E0; -1,429E1; -2,093E0; 6,610E0
605; 2,012E1; 1,161E0; -1,373E1; -1,850E0; 1,681E1
606; 2,016E1; 1,123E0; -1,301E1; -1,136E0; 2,171E1
607; 2,019E1; 1,044E0; -1,205E1; -2,381E0; 2,873E1
608; 2,022E1; 1,008E0; -1,090E1; -1,051E0; 3,436E1
609; 2,026E1; 9,684E-1; -9,567E0; -1,203E0; 4,010E1
610; 2,029E1; 9,083E-1; -8,116E0; -1,804E0; 4,355E1
611; 2,032E1; 8,453E-1; -6,588E0; -1,890E0; 4,587E1
612; 2,036E1; 8,483E-1; -4,940E0; 8,953E-2; 4,945E1
613; 2,039E1; 7,837E-1; -3,375E0; -1,940E0; 4,697E1
614; 2,042E1; 7,603E-1; -1,751E0; -7,002E-1; 4,876E1
615; 2,046E1; 7,324E-1; -1,459E-1; -8,394E-1; 4,817E1
616; 2,049E1; 7,214E-1; 1,295E0; -3,299E-1; 4,324E1
